gridNum:6, nrmse:0.395
gridNum:4, nrmse:0.434
gridNum:5, nrmse:0.434
gridNum:18, nrmse:0.368
gridNum:23, nrmse:0.706
gridNum:20, nrmse:0.553
gridNum:13, nrmse:0.369
gridNum:7, nrmse:0.438
gridNum:2, nrmse:0.343
gridNum:28, nrmse:0.449
gridNum:22, nrmse:0.522
gridNum:12, nrmse:0.409
gridNum:0, nrmse:0.354
gridNum:27, nrmse:0.453
gridNum:14, nrmse:0.370
gridNum:31, nrmse:0.382
gridNum:17, nrmse:0.296
gridNum:26, nrmse:0.400
gridNum:21, nrmse:0.466
gridNum:1, nrmse:0.366
gridNum:30, nrmse:0.353
gridNum:3, nrmse:0.395
gridNum:16, nrmse:0.325
gridNum:15, nrmse:0.413
gridNum:25, nrmse:0.362
gridNum:11, nrmse:0.421
gridNum:37, nrmse:0.364
gridNum:33, nrmse:0.417
gridNum:44, nrmse:0.414
gridNum:39, nrmse:0.516
gridNum:32, nrmse:0.387
gridNum:36, nrmse:0.362
gridNum:10, nrmse:0.511
gridNum:35, nrmse:0.390
gridNum:9, nrmse:0.400
gridNum:46, nrmse:0.371
gridNum:8, nrmse:0.388
gridNum:42, nrmse:0.404
gridNum:24, nrmse:0.444
gridNum:29, nrmse:0.354
gridNum:55, nrmse:0.462
gridNum:56, nrmse:0.403
gridNum:50, nrmse:0.396
gridNum:38, nrmse:0.411
gridNum:72, nrmse:0.412
gridNum:66, nrmse:0.363
gridNum:63, nrmse:0.416
gridNum:68, nrmse:0.485
gridNum:65, nrmse:0.419
gridNum:41, nrmse:0.467
gridNum:58, nrmse:0.453
gridNum:69, nrmse:0.379
gridNum:62, nrmse:0.424
gridNum:80, nrmse:0.334
gridNum:48, nrmse:0.397
gridNum:81, nrmse:0.380
gridNum:45, nrmse:0.410
gridNum:61, nrmse:0.391
gridNum:54, nrmse:0.377
gridNum:57, nrmse:0.461
gridNum:74, nrmse:0.421
gridNum:71, nrmse:0.427
gridNum:60, nrmse:0.318
gridNum:76, nrmse:0.429
gridNum:70, nrmse:0.398
gridNum:49, nrmse:0.357
gridNum:77, nrmse:0.412
gridNum:47, nrmse:0.337
gridNum:84, nrmse:0.381
gridNum:73, nrmse:0.441
gridNum:86, nrmse:0.272
gridNum:67, nrmse:0.472
gridNum:85, nrmse:0.269
gridNum:88, nrmse:0.365
gridNum:87, nrmse:0.315
gridNum:94, nrmse:0.383
gridNum:102, nrmse:0.452
gridNum:93, nrmse:0.463
gridNum:91, nrmse:0.433
gridNum:98, nrmse:0.486
gridNum:19, nrmse:0.377
gridNum:89, nrmse:0.265
gridNum:106, nrmse:0.387
gridNum:97, nrmse:0.401
gridNum:75, nrmse:0.425
gridNum:105, nrmse:0.459
gridNum:95, nrmse:0.362
gridNum:100, nrmse:0.437
gridNum:79, nrmse:0.357
gridNum:64, nrmse:0.365
gridNum:111, nrmse:0.425
gridNum:114, nrmse:0.247
gridNum:96, nrmse:0.353
gridNum:101, nrmse:0.405
gridNum:82, nrmse:0.447
gridNum:90, nrmse:0.418
gridNum:103, nrmse:0.572
gridNum:126, nrmse:0.342
gridNum:52, nrmse:0.840
gridNum:43, nrmse:0.378
gridNum:112, nrmse:0.387
gridNum:117, nrmse:0.530
gridNum:59, nrmse:0.310
gridNum:119, nrmse:0.363
gridNum:118, nrmse:0.340
gridNum:99, nrmse:0.504
gridNum:129, nrmse:0.709
gridNum:92, nrmse:0.420
gridNum:127, nrmse:0.428
gridNum:115, nrmse:0.266
gridNum:124, nrmse:0.417
gridNum:123, nrmse:0.443
gridNum:107, nrmse:0.607
gridNum:122, nrmse:0.444
gridNum:34, nrmse:0.385
gridNum:51, nrmse:0.554
gridNum:108, nrmse:0.850
gridNum:40, nrmse:0.437
gridNum:78, nrmse:0.389
gridNum:113, nrmse:0.480
gridNum:152, nrmse:0.379
gridNum:120, nrmse:0.338
gridNum:125, nrmse:0.338
gridNum:131, nrmse:0.454
gridNum:133, nrmse:0.680
gridNum:139, nrmse:0.523
gridNum:132, nrmse:0.554
gridNum:145, nrmse:0.295
gridNum:121, nrmse:0.429
gridNum:104, nrmse:0.509
gridNum:116, nrmse:1.465
gridNum:83, nrmse:0.476
gridNum:142, nrmse:0.443
gridNum:161, nrmse:0.442
gridNum:167, nrmse:0.439
gridNum:146, nrmse:0.568
gridNum:148, nrmse:0.414
gridNum:150, nrmse:0.322
gridNum:149, nrmse:0.442
gridNum:155, nrmse:0.341
gridNum:147, nrmse:0.640
gridNum:151, nrmse:0.385
gridNum:159, nrmse:0.472
gridNum:138, nrmse:0.660
gridNum:134, nrmse:0.527
gridNum:172, nrmse:0.386
gridNum:130, nrmse:0.620
gridNum:160, nrmse:0.442
gridNum:173, nrmse:0.456
gridNum:128, nrmse:0.483
gridNum:53, nrmse:0.767
gridNum:163, nrmse:0.592
gridNum:180, nrmse:0.308
gridNum:141, nrmse:0.448
gridNum:143, nrmse:0.529
gridNum:165, nrmse:0.578
gridNum:178, nrmse:0.390
gridNum:140, nrmse:0.435
gridNum:175, nrmse:0.366
gridNum:166, nrmse:0.480
gridNum:164, nrmse:0.538
gridNum:174, nrmse:0.398
gridNum:176, nrmse:0.498
gridNum:182, nrmse:0.358
gridNum:169, nrmse:0.402
gridNum:170, nrmse:0.433
gridNum:185, nrmse:0.437
gridNum:181, nrmse:0.356
gridNum:188, nrmse:0.493
gridNum:144, nrmse:0.336
gridNum:177, nrmse:0.383
gridNum:183, nrmse:0.341
gridNum:187, nrmse:0.439
gridNum:189, nrmse:0.486
gridNum:171, nrmse:0.489
gridNum:179, nrmse:16.740
gridNum:186, nrmse:0.419
gridNum:190, nrmse:0.454
gridNum:184, nrmse:0.427
gridNum:157, nrmse:0.557
gridNum:202, nrmse:0.401
gridNum:191, nrmse:0.396
gridNum:204, nrmse:0.444
gridNum:109, nrmse:0.360
gridNum:194, nrmse:0.464
gridNum:208, nrmse:0.389
gridNum:192, nrmse:0.557
gridNum:137, nrmse:0.661
gridNum:195, nrmse:0.539
gridNum:203, nrmse:0.445
gridNum:193, nrmse:0.504
gridNum:216, nrmse:0.386
gridNum:158, nrmse:0.447
gridNum:196, nrmse:0.513
gridNum:207, nrmse:0.295
gridNum:110, nrmse:0.445
gridNum:198, nrmse:0.397
gridNum:200, nrmse:0.552
gridNum:206, nrmse:0.300
gridNum:209, nrmse:0.406
gridNum:215, nrmse:0.403
gridNum:136, nrmse:0.436
gridNum:199, nrmse:0.429
gridNum:197, nrmse:0.408
gridNum:135, nrmse:0.440
gridNum:201, nrmse:0.585
gridNum:205, nrmse:0.393
gridNum:221, nrmse:0.473
gridNum:153, nrmse:0.430
gridNum:154, nrmse:0.424
gridNum:235, nrmse:0.479
gridNum:217, nrmse:0.747
gridNum:162, nrmse:0.613
gridNum:236, nrmse:0.302
gridNum:237, nrmse:0.284
gridNum:222, nrmse:0.480
gridNum:241, nrmse:0.375
gridNum:238, nrmse:0.291
gridNum:244, nrmse:0.327
gridNum:226, nrmse:0.595
gridNum:211, nrmse:0.340
gridNum:220, nrmse:0.396
gridNum:228, nrmse:0.559
gridNum:240, nrmse:0.359
gridNum:168, nrmse:0.470
gridNum:246, nrmse:0.480
gridNum:223, nrmse:0.453
gridNum:245, nrmse:0.385
gridNum:247, nrmse:0.469
gridNum:231, nrmse:0.621
gridNum:252, nrmse:0.421
gridNum:250, nrmse:0.439
gridNum:214, nrmse:0.395
gridNum:156, nrmse:0.382
gridNum:233, nrmse:0.697
gridNum:251, nrmse:0.426
gridNum:248, nrmse:0.439
gridNum:230, nrmse:0.630
gridNum:253, nrmse:0.387
gridNum:264, nrmse:0.508
gridNum:267, nrmse:0.351
gridNum:239, nrmse:0.310
gridNum:268, nrmse:0.337
gridNum:232, nrmse:0.643
gridNum:229, nrmse:0.594
gridNum:225, nrmse:0.515
gridNum:269, nrmse:0.326
gridNum:265, nrmse:0.447
gridNum:210, nrmse:0.370
gridNum:266, nrmse:0.472
gridNum:224, nrmse:0.442
gridNum:275, nrmse:0.330
gridNum:261, nrmse:0.684
gridNum:254, nrmse:0.379
gridNum:227, nrmse:0.561
gridNum:257, nrmse:0.665
gridNum:256, nrmse:0.673
gridNum:255, nrmse:0.467
gridNum:218, nrmse:0.381
gridNum:213, nrmse:0.438
gridNum:258, nrmse:0.688
gridNum:278, nrmse:0.370
gridNum:271, nrmse:0.426
gridNum:260, nrmse:0.632
gridNum:270, nrmse:0.268
gridNum:279, nrmse:0.356
gridNum:274, nrmse:0.339
gridNum:277, nrmse:0.467
gridNum:262, nrmse:0.956
gridNum:263, nrmse:0.750
gridNum:281, nrmse:0.404
gridNum:259, nrmse:0.696
gridNum:280, nrmse:0.449
gridNum:297, nrmse:0.490
gridNum:283, nrmse:0.411
gridNum:282, nrmse:0.465
gridNum:284, nrmse:0.516
gridNum:243, nrmse:0.400
gridNum:295, nrmse:0.516
gridNum:290, nrmse:0.773
gridNum:300, nrmse:0.278
gridNum:249, nrmse:0.352
gridNum:294, nrmse:0.383
gridNum:285, nrmse:0.494
gridNum:298, nrmse:0.441
gridNum:234, nrmse:0.579
gridNum:273, nrmse:0.637
gridNum:311, nrmse:0.476
gridNum:287, nrmse:0.773
gridNum:302, nrmse:0.450
gridNum:286, nrmse:0.615
gridNum:293, nrmse:0.579
gridNum:291, nrmse:0.722
gridNum:308, nrmse:0.316
gridNum:292, nrmse:0.784
gridNum:289, nrmse:0.882
gridNum:303, nrmse:0.716
gridNum:296, nrmse:0.513
gridNum:310, nrmse:0.400
gridNum:307, nrmse:0.327
gridNum:301, nrmse:0.413
gridNum:299, nrmse:0.343
gridNum:242, nrmse:0.440
gridNum:309, nrmse:0.419
gridNum:288, nrmse:0.882
gridNum:306, nrmse:0.383
gridNum:272, nrmse:0.481
gridNum:325, nrmse:0.488
gridNum:336, nrmse:0.446
gridNum:333, nrmse:0.376
gridNum:276, nrmse:0.349
gridNum:314, nrmse:0.551
gridNum:328, nrmse:0.403
gridNum:330, nrmse:0.334
gridNum:320, nrmse:1.051
gridNum:340, nrmse:0.536
gridNum:313, nrmse:0.520
gridNum:322, nrmse:0.827
gridNum:327, nrmse:0.445
gridNum:335, nrmse:0.534
gridNum:332, nrmse:0.383
gridNum:334, nrmse:0.398
gridNum:315, nrmse:0.665
gridNum:317, nrmse:0.901
gridNum:323, nrmse:0.573
gridNum:342, nrmse:0.496
gridNum:341, nrmse:0.486
gridNum:329, nrmse:0.358
gridNum:339, nrmse:0.540
gridNum:318, nrmse:1.270
gridNum:319, nrmse:1.195
gridNum:212, nrmse:0.453
gridNum:316, nrmse:0.671
gridNum:312, nrmse:0.601
gridNum:324, nrmse:0.436
gridNum:326, nrmse:0.479
gridNum:338, nrmse:0.534
gridNum:321, nrmse:0.867
gridNum:356, nrmse:0.407
gridNum:359, nrmse:0.352
gridNum:219, nrmse:0.341
gridNum:355, nrmse:0.436
gridNum:361, nrmse:0.398
gridNum:369, nrmse:0.560
gridNum:345, nrmse:0.849
gridNum:366, nrmse:0.457
gridNum:350, nrmse:1.637
gridNum:363, nrmse:0.375
gridNum:347, nrmse:1.183
gridNum:370, nrmse:0.509
gridNum:364, nrmse:0.330
gridNum:353, nrmse:0.614
gridNum:354, nrmse:0.437
gridNum:349, nrmse:1.449
gridNum:331, nrmse:0.369
gridNum:351, nrmse:1.280
gridNum:348, nrmse:1.345
gridNum:360, nrmse:0.602
gridNum:372, nrmse:0.452
gridNum:352, nrmse:0.967
gridNum:371, nrmse:0.485
gridNum:346, nrmse:0.943
gridNum:305, nrmse:0.491
gridNum:368, nrmse:0.576
gridNum:358, nrmse:0.336
gridNum:362, nrmse:0.374
gridNum:344, nrmse:0.516
gridNum:385, nrmse:0.411
gridNum:390, nrmse:5.080
gridNum:393, nrmse:0.432
gridNum:398, nrmse:0.529
gridNum:396, nrmse:0.455
gridNum:343, nrmse:0.540
gridNum:377, nrmse:1.006
gridNum:378, nrmse:1.343
gridNum:384, nrmse:0.452
gridNum:389, nrmse:0.360
gridNum:381, nrmse:1.339
gridNum:376, nrmse:0.836
gridNum:394, nrmse:0.341
